id,name,name_en,description
1,perevodchik,translator,Переводчик комикса
2,oformlenie,designer,Оформление и дизайн
3,taiper,typist,Набор текста
4,redaktor,editor,Редактор перевода
5,story,story,Название сюжетной линии
6,volume,volume,Том или выпуск
