"id","name","title","descr","icon","allow_groups"
1,XCats,XCats - доп. поля категорий,Дополнительные поля для категорий,xcats.png,"1"
2,yummyfields,"","",yummyfields.png,"1"
3,dle_search,DLE Search,Управление настройками,dle_search.png,"1"
5,RandomAjaxPosts,RandomAjaxPosts - случайный порядок новостей в категории и xfsearch,Случайный порядок новостей в категории и xfsearch,randomajaxposts.png,"1"
6,exim,Экспорт / импорт новостей,Экспорт / импорт новостей на сайте + работа с плагином Kylshop (если установлен),exim.png,"1"
7,scrin,Хостинг картинок imgbb,Загрузка картинок на хостинг imgbb из новости.,engine/skins/images/scrin.png,"1"
