"id","banner_tag","descr","code","approve","short_place","bstick","main","category","grouplevel","start","end","fpage","innews","devicelevel","allow_views","max_views","allow_counts","max_counts","views","clicks","rubric"
1,header,Верхний баннер,"<div style=""text-align:center;""><a href=""https://dle-news.ru/"" target=""_blank""><img src=""http://sleep-com.ru/templates/Default/images/_banner_.gif"" style=""border: none;"" alt="""" /></a></div>",1,0,0,0,"0",all,"","",0,0,"",0,0,0,0,0,0,0
2,ok,Переводится,"<span class=""fas fa-circle"" title=""Статус"" style=""color:#1bfb00""></span>",1,0,0,0,"0",all,"","",0,0,all,0,0,0,0,0,0,1
3,status,Переводится,ок,0,0,0,0,"0",all,"","",0,0,all,0,0,0,0,0,0,1
