"id","search","search_eng","found","news_list","search_rus","search_date","IP","query_num","member_name","memory_usage","MySQL_time","tpl_time"
237,Doomcl,"",0,"","","2020-01-12 04:18:22","37.29.40.27",3,Гость,2.0,0.0,0.0
239,Doom,"",1,"1417|Doomsday Clock #02","","2020-01-12 04:18:40","37.29.40.27",3,Гость,2.0,0.0,0.0
246,Watchmen,"",0,"","","2020-01-12 04:32:17","37.29.40.27",3,Гость,2.0,0.0,0.0
249,dept,"",1,"","","2020-01-12 11:09:02","178.163.120.166",3,Гость,2.0,0.0,0.0
263,absu,"",0,"","","2020-01-12 13:13:16","79.126.115.118",3,Гость,2.0,0.0,0.0
260,preacher,"",1,"","","2020-01-12 11:35:26","31.162.20.54",3,Гость,2.0,0.0,0.0
269,absolute,"",1,"","","2020-01-12 13:13:22","79.126.115.118",3,Гость,2.0,0.0,0.0
271,"47 key","",0,"","","2020-01-12 13:42:54","46.241.58.175",3,Гость,2.0,0.0,0.0
272,kylo ren,"",0,"","","2020-01-12 15:04:37","83.219.136.173",3,Гость,2.0,0.0,0.0
275,stat,"",1,"","","2020-01-12 15:04:59","83.219.136.173",3,Гость,2.0,0.0,0.0
278,star wars,"",0,"","","2020-01-12 15:05:05","83.219.136.173",3,Гость,2.0,0.0,0.0
282,robin 1993,"",0,"","","2020-01-12 16:45:25","178.204.109.167",3,Гость,2.0,0.0,0.0
294,зеленая стрела зеленый фонарь,"",0,"","","2020-01-12 20:54:03","5.137.220.195",3,Гость,2.0,0.0,0.0
298,invin,"",0,"","","2020-01-12 22:42:44","5.18.235.68",3,Гость,2.0,0.0,0.0
299,цф,"",0,"","","2020-01-13 08:05:57","176.59.133.85",3,Гость,2.0,0.0,0.0
306,warcraft,"",0,"","","2020-01-13 08:06:02","176.59.133.85",3,Гость,2.0,0.0,0.0
308,Веном,"",0,"","","2020-01-13 10:39:56","213.234.222.114",3,Гость,2.0,0.0,0.0
315,Venom 19,"",0,"","","2020-01-13 11:05:33","213.234.222.114",3,Гость,2.0,0.0,0.0
322,симпсоны,"",0,"","","2020-01-13 11:50:02","77.106.99.224",3,Гость,2.0,0.0,0.0
329,sun citu,"",0,"","","2020-01-13 12:46:23","217.118.84.114",3,Гость,2.0,0.0,0.0
331,sun city,"",0,"","","2020-01-13 12:46:24","217.118.84.114",3,Гость,2.0,0.0,0.0
339,город грехов,"",0,"","","2020-01-13 12:46:46","217.118.84.114",3,Гость,2.0,0.0,0.0
347,Sin City,"",1,"","","2020-01-13 12:48:47","217.118.84.114",3,Гость,2.0,0.0,0.0
361,batman v,"",0,"","","2020-01-13 14:52:24","85.140.2.192",3,Гость,2.0,0.0,0.0
360,batman vo,"",0,"","","2020-01-13 14:52:23","85.140.2.192",3,Гость,2.0,0.0,0.0
362,batman,"",1,"","","2020-01-13 14:52:25","85.140.2.192",3,Гость,2.0,0.0,0.0
364,boy,"",1,"581|The Boys #01","","2020-01-13 17:26:48","89.28.162.90",3,Гость,2.0,0.0,0.0
365,Absolute Carnage (2019) \\#1,"",0,"","","2020-01-13 17:32:12","94.140.138.99",3,Гость,2.0,0.0,0.0
366,Absolute Carnage \\#1,"",0,"","","2020-01-13 17:32:16","94.140.138.99",3,Гость,2.0,0.0,0.0
367,Absolute Carnage (2019) \\#1,"",0,"","","2020-01-13 17:32:23","94.140.138.99",3,Гость,2.0,0.0,0.0
369,Absolute Carnage,"",1,"","","2020-01-13 17:32:25","94.140.138.99",3,Гость,2.0,0.0,0.0
370,Amazing Spider-Man,"",1,"","","2020-01-13 17:33:02","94.140.138.99",3,Гость,2.0,0.0,0.0
372,Kubf,"",0,"","","2020-01-13 19:32:00","80.246.81.225",3,Гость,2.0,0.0,0.0
373,Ku,"",1,"","","2020-01-13 19:32:01","80.246.81.225",3,Гость,2.0,0.0,0.0
379,Лига Октяброя,"",0,"","","2020-01-13 19:32:05","80.246.81.225",3,Гость,2.0,0.0,0.0
380,Лига Октября,"",0,"","","2020-01-13 19:32:06","80.246.81.225",3,Гость,2.0,0.0,0.0
393,captain America,"",1,"","","2020-01-13 21:53:54","37.215.142.104",3,Гость,2.0,0.0,0.0
395,boys,"",1,"","","2020-01-13 22:04:41","188.255.126.86",3,Гость,2.0,0.0,0.0
397,nousw,"",0,"","","2020-01-14 06:16:10","195.135.247.20",3,Гость,2.0,0.0,0.0
398,mousw,"",0,"","","2020-01-14 06:16:12","195.135.247.20",3,Гость,2.0,0.0,0.0
401,mouse g,"",0,"","","2020-01-14 06:16:18","195.135.247.20",3,Гость,2.0,0.0,0.0
402,guaw,"",0,"","","2020-01-14 06:16:20","195.135.247.20",3,Гость,2.0,0.0,0.0
403,guae,"",0,"","","2020-01-14 06:16:20","195.135.247.20",3,Гость,2.0,0.0,0.0
414,gu,"",1,"","","2020-01-14 06:24:43","195.135.247.20",3,Гость,2.0,0.0,0.0
413,guard,"",1,"","","2020-01-14 06:24:40","195.135.247.20",3,Гость,2.0,0.0,0.0
410,мышина,"",0,"","","2020-01-14 06:24:33","195.135.247.20",3,Гость,2.0,0.0,0.0
417,гвыард,"",0,"","","2020-01-14 06:24:49","195.135.247.20",3,Гость,2.0,0.0,0.0
418,гвы,"",0,"","","2020-01-14 06:24:49","195.135.247.20",3,Гость,2.0,0.0,0.0
420,гвардия,"",0,"","","2020-01-14 06:24:50","195.135.247.20",3,Гость,2.0,0.0,0.0
422,Indiana Jones,"",1,"","","2020-01-14 08:26:49","176.59.133.85",3,Гость,2.0,0.0,0.0
424,Boys,"",1,"","","2020-01-14 09:42:45","31.173.83.17",3,Гость,2.0,0.0,0.0
426,Harley Quinn and Suicide Squad April Fool’s Special 1,"",0,"","","2020-01-14 12:10:40","128.71.153.225",3,Гость,2.0,0.0,0.0
427,Harley Quinn,"",1,"","","2020-01-14 12:10:42","128.71.153.225",3,Гость,2.0,0.0,0.0
433,Amazoins,"",0,"","","2020-01-14 13:04:43","91.227.190.181",3,Гость,2.0,0.0,0.0
434,Amazoin,"",0,"","","2020-01-14 13:04:45","91.227.190.181",3,Гость,2.0,0.0,0.0
435,Amazoi,"",0,"","","2020-01-14 13:04:45","91.227.190.181",3,Гость,2.0,0.0,0.0
438,Amazons,"",1,"1280|The Odyssey of the Amazons #02","","2020-01-14 13:04:46","91.227.190.181",3,Гость,2.0,0.0,0.0
441,Thor,"",1,"","","2020-01-14 13:10:11","91.227.190.181",3,Гость,2.0,0.0,0.0
449,Metabaron,"",0,"","","2020-01-14 13:26:58","91.227.190.181",3,Гость,2.0,0.0,0.0
451,Звв,"",0,"","","2020-01-14 16:12:45","178.120.11.95",3,Гость,2.0,0.0,0.0
452,Зв,"",0,"","","2020-01-14 16:12:47","178.120.11.95",3,Гость,2.0,0.0,0.0
469,Чудо ж,"",0,"","","2020-01-14 17:14:58","176.59.65.107",3,Гость,2.0,0.0,0.0
464,the boys,"",1,"","","2020-01-14 17:08:38","176.124.114.220",3,Гость,2.0,0.0,0.0
470,Чу,"",0,"","","2020-01-14 17:15:02","176.59.65.107",3,Гость,2.0,0.0,0.0
471,Бэтмен,"",0,"","","2020-01-14 18:29:52","176.59.44.194",3,Гость,2.0,0.0,0.0
473,Batnab,"",0,"","","2020-01-14 18:30:34","176.59.44.194",3,Гость,2.0,0.0,0.0
478,ДЩ,"",0,"","","2020-01-14 19:22:15","130.180.212.100",3,Гость,2.0,0.0,0.0
477,Batman,"",1,"","","2020-01-14 18:31:58","176.59.44.194",3,Гость,2.0,0.0,0.0
482,LOCKR,"",0,"","","2020-01-14 19:22:23","130.180.212.100",3,Гость,2.0,0.0,0.0
484,ЛОКК,"",0,"","","2020-01-14 19:22:45","130.180.212.100",3,Гость,2.0,0.0,0.0
489,amazing,"",1,"7|Amazing Spider-Man #001","","2020-01-14 20:17:44","178.204.254.171",4,Shaleman,2.0,0.0,0.0
492,cosm,"",1,"2351|Cosmic Ghost Rider #01","","2020-01-14 20:23:27","5.101.132.74",3,Гость,2.0,0.0,0.0
493,Spider-Women,"",1,"2551|Spider-Women Alpha #01","","2020-01-14 20:31:42","178.204.254.171",4,Shaleman,2.0,0.0,0.0
496,batman,"",1,"","","2020-01-14 20:39:03","178.204.254.171",4,Shaleman,2.0,0.0,0.0
501,iron man,"",1,"","","2020-01-14 21:33:56","46.56.237.250",3,Гость,2.0,0.0,0.0
503,red,"",1,"","","2020-01-14 22:00:03","178.204.254.171",4,Shaleman,2.0,0.0,0.0
509,wolveru,"",0,"","","2020-01-15 00:39:31","46.146.20.40",3,Гость,2.0,0.0,0.0
528,Blankets,"",0,"","","2020-01-15 01:37:14","109.126.151.41",3,Гость,2.0,0.0,0.0
519,Индиана,"",0,"","","2020-01-15 00:43:54","94.25.174.168",3,Гость,2.0,0.0,0.0
527,wolverine,"",1,"","","2020-01-15 00:44:42","46.146.20.40",3,Гость,2.0,0.0,0.0
529,Superman \\#39,"",0,"","","2020-01-15 08:21:11","46.17.201.74",4,admin,2.0,0.0,0.0
530,Superman \\#39,"",0,"","","2020-01-15 08:21:15","46.17.201.74",4,admin,2.0,0.0,0.0
531,Superman,"",1,"","","2020-01-15 08:21:23","46.17.201.74",4,admin,2.0,0.0,0.0
